area_type,availability,location,size,total_sqft,bath,balcony,price
Super built-up  Area,18-Mar,"Wandan Township, Pingtung County",3 BHK,1724,2,1,3796
Super built-up  Area,Ready To Move,"Chaozhou Township, Pingtung County",2 BHK,1020,1,2,1560
Plot  Area,Ready To Move,"Taiwu Township, Pingtung County",6 Bedroom,1000,2,2,3900
Super built-up  Area,Ready To Move,"Laiyi Township, Pingtung County",3 BHK,1250,1,1,1300
Super built-up  Area,Ready To Move,"Wanluan Township, Pingtung County",3 BHK,1450,2,2,1950
Super built-up  Area,Ready To Move,"Kanding Township, Pingtung County",2 BHK,1200,1,2,2080
Built-up  Area,Ready To Move,"Xinpi Township, Pingtung County",2 BHK,1140,1,2,1508
Plot  Area,Ready To Move,"Nanzhou Township, Pingtung County",5 Bedroom,900,2,2,2860
Super built-up  Area,Ready To Move,"Linbian Township, Pingtung County",1 BHK,550,1,1,416
Super built-up  Area,17-Oct,"Donggang Township, Pingtung County",3 BHK,1450,2,1,1144
Plot  Area,Immediate Possession,"Liuqiu Township, Pingtung County",,1500,,,662.74
Super built-up  Area,21-Dec,"Jiadong Township, Pingtung County",2 BHK,700,1,1,911.82
Plot  Area,18-Jul,"Xinyuan Township, Pingtung County",3 Bedroom,1200,2,1,1456
Super built-up  Area,Ready To Move,"Fangliao Township, Pingtung County",2 BHK,1050,1,1,1170
Super built-up  Area,Ready To Move,"Fangshan Township, Pingtung County",3 BHK,1600,2,3,1794
Super built-up  Area,Ready To Move,"Chunri Township, Pingtung County",3 BHK,1625,1,3,1950
Super built-up  Area,Ready To Move,"Shizi Township, Pingtung County",2 BHK,1492,1,2,1690
Super built-up  Area,18-Dec,"Checheng Township, Pingtung County",4 BHK,2830 - 2882,2,0,4095
Super built-up  Area,Ready To Move,"Mudan Township, Pingtung County",3 BHK,1489,1,3,2132
Super built-up  Area,Ready To Move,"Hengchun Township, Pingtung County",3 BHK,1560,1,2,1621.88
Super built-up  Area,Ready To Move,"Manzhou Township, Pingtung County",2 BHK,1140,1,2,1092
Super built-up  Area,Ready To Move,"Taitung City, Taitung County",3 BHK,1431,2,2,1690
Super built-up  Area,Ready To Move,"Ludao Township, Taitung County",3 BHK,1682,2,1,2964
Super built-up  Area,18-Feb,"Lanyu Township, Taitung County",2 BHK,1198,1,1,2242.76
Plot  Area,18-May,"Yanping Township, Taitung County",3 Bedroom,3664,2,2,8450
Super built-up  Area,Ready To Move,"Beinan Township, Taitung County",3 BHK,1550,1,2,1813.5
Super built-up  Area,Ready To Move,"Luye Township, Taitung County",2 BHK,1026,1,1,1170
Built-up  Area,Ready To Move,"Guanshan Township, Taitung County",3 BHK,1260,1,2,1352
Plot  Area,Ready To Move,"Haiduan Township, Taitung County",2 Bedroom,690,1,0,1092
Super built-up  Area,Ready To Move,"Chishang Township, Taitung County",1 BHK,539,1,1,1170
Built-up  Area,Ready To Move,"Donghe Township, Taitung County",4 Bedroom,1200,2,1,2210
Built-up  Area,Ready To Move,"Chenggong Township, Taitung County",3 Bedroom,2400,2,3,3120
Super built-up  Area,Ready To Move,"Changbin Township, Taitung County",2 BHK,1200,1,2,2068.3
Plot  Area,Ready To Move,"Taimali Township, Taitung County",4 Bedroom,2500,2,2,9100
Super built-up  Area,Ready To Move,"Jinfeng Township, Taitung County",3 BHK,1186,1,2,1040
Super built-up  Area,Ready To Move,"Dawu Township, Taitung County",2 BHK,1039,1,2,1027
Plot  Area,Ready To Move,"Daren Township, Taitung County",4 Bedroom,1500,2,3,6058
Plot  Area,Ready To Move,"Hualien City, Hualien County",5 Bedroom,1500,2,1,2600
Super built-up  Area,Ready To Move,"Xincheng Township, Hualien County",3 BHK,2520,2,2,3900
Built-up  Area,Ready To Move,"Xiulin Township, Hualien County",2 BHK,1225,1,2,1729
Super built-up  Area,Ready To Move,"Shoufeng Township, Hualien County",2 BHK,1030,1,2,7800
Built-up  Area,Ready To Move,"Fenglin Township, Hualien County",3 BHK,1550,1,2,1289.6
Super built-up  Area,Ready To Move,"Guangfu Township, Hualien County",3 BHK,1490,2,2,2054
Super built-up  Area,Ready To Move,"Fengbin Township, Hualien County",3 BHK,1520,2,2,2886
Plot  Area,Ready To Move,"Ruisui Township, Hualien County",4 Bedroom,4100,2,,14300
Built-up  Area,Ready To Move,"Wanrong Township, Hualien County",3 BHK,1391,1,3,1677
Super built-up  Area,Ready To Move,"Yuli Township, Hualien County",2 BHK,1200,1,2,1300
Plot  Area,Ready To Move,"Zhuoxi Township, Hualien County",4 Bedroom,1200,2,2,2236
Plot  Area,Ready To Move,"Fuli Township, Hualien County",5 Bedroom,2500,2,3,13000
Super built-up  Area,Ready To Move,"Toufen City, Miaoli County",2 BHK,1322,1,2,2080
Super built-up  Area,19-Dec,"Yuanlin City, Changhua County",3 BHK,2173,2,2,3328
Super built-up  Area,Ready To Move,"Zhongzheng Dist., Taipei City",2 BHK,1200,1,2,1950
Super built-up  Area,Ready To Move,"Datong Dist., Taipei City",2 BHK,1200,1,2,1222
Super built-up  Area,Ready To Move,"Zhongshan Dist., Taipei City",2 BHK,1170,1,2,1690
Super built-up  Area,17-Dec,"Songshan Dist., Taipei City",2 BHK,1125,1,2,1184.56
Super built-up  Area,Ready To Move,"Wanhua Dist., Taipei City",2 BHK,1250,1,2,2340
Super built-up  Area,19-Dec,"Xinyi Dist., Taipei City",2 BHK,1025,1,2,719.68
Super built-up  Area,Ready To Move,"Shilin Dist., Taipei City",3 BHK,1075,1,2,936
Super built-up  Area,Ready To Move,"Beitou Dist., Taipei City",3 BHK,1900,1,2,4940
Built-up  Area,Ready To Move,"Neihu Dist., Taipei City",3 BHK,1435,2,2,1170
Super built-up  Area,18-Dec,"Nangang Dist., Taipei City",2 BHK,1175,1,2,1689.48
Super built-up  Area,Ready To Move,"Wenshan Dist., Taipei City",3 BHK,1464,2,2,1456
Super built-up  Area,Ready To Move,"Xinyi Dist., Keelung City",1 BHK,585,1,1,546
Plot  Area,Ready To Move,"Zhongzheng Dist., Keelung City",4 Bedroom,3170,2,2,5980
Super built-up  Area,18-May,"Zhongshan Dist., Keelung City",3 BHK,1602,1,1,4420
Super built-up  Area,Ready To Move,"Anle Dist., Keelung City",2 BHK,1220,1,2,1092
Super built-up  Area,Ready To Move,"Nuannuan Dist., Keelung City",3 BHK,2500,2,3,9100
Super built-up  Area,Ready To Move,"Qidu Dist., Keelung City",3 BHK,2145,2,3,4680
Super built-up  Area,Ready To Move,"Wanli Dist., New Taipei City",2 BHK,960,1,3,1508
Super built-up  Area,Ready To Move,"Jinshan Dist., New Taipei City",1 BHK,907,1,1,988
Super built-up  Area,Ready To Move,"Nangan Township, Lienchiang County",2 BHK,1210,1,1,1924
Plot  Area,Ready To Move,"Beigan Township, Lienchiang County",4 Bedroom,900,2,1,3900
Super built-up  Area,Ready To Move,"Juguang Township, Lienchiang County",2 BHK,1230,1,2,1820
Super built-up  Area,Ready To Move,"Dongyin Township, Lienchiang County",3 BHK,1350,1,1,1950
Super built-up  Area,Ready To Move,"Banqiao Dist., New Taipei City",2 BHK,1150,1,2,1508
Super built-up  Area,19-Apr,"Xizhi Dist., New Taipei City",3 BHK,1404,1,0,1387.1
Super built-up  Area,Ready To Move,"Shenkeng Dist., New Taipei City",2 BHK,1050,1,3,1248
Plot  Area,Ready To Move,"Shiding Dist., New Taipei City",8 Bedroom,1020,10,0,4030
Super built-up  Area,Ready To Move,"Ruifang Dist., New Taipei City",2 BHK,1285,1,2,1456
Super built-up  Area,Ready To Move,"Pingxi Dist., New Taipei City",2 BHK,1018,1,1,1320.8
Plot  Area,Ready To Move,"Shuangxi Dist., New Taipei City",3 Bedroom,1200,2,2,1482
Super built-up  Area,Ready To Move,"Gongliao Dist., New Taipei City",2 BHK,1115,1,2,1300
Super built-up  Area,Ready To Move,"Xindian Dist., New Taipei City",3 BHK,1600,2,3,2470
Super built-up  Area,21-Sep,"Pinglin Dist., New Taipei City",2 BHK,1480,1,1,2080
Built-up  Area,Ready To Move,"Wulai Dist., New Taipei City",5 Bedroom,2500,3,0,3250
Built-up  Area,Ready To Move,"Yonghe Dist., New Taipei City",1 BHK,480,1,1,650
Super built-up  Area,Ready To Move,"Zhonghe Dist., New Taipei City",3 BHK,1435,2,3,1378
Built-up  Area,Ready To Move,"Tucheng Dist., New Taipei City",1 BHK,450,1,2,1560
Super built-up  Area,Ready To Move,"Sanxia Dist., New Taipei City",1 BHK,600,1,0,598
Super built-up  Area,Ready To Move,"Shulin Dist., New Taipei City",3 BHK,1590,1,3,2210
Plot  Area,Immediate Possession,"Yingge Dist., New Taipei City",,800 - 2660,,,742.17
Built-up  Area,Ready To Move,"Sanchong Dist., New Taipei City",2 BHK,936,1,0,1045.2
Super built-up  Area,Ready To Move,"Xinzhuang Dist., New Taipei City",2 BHK,1181,1,1,1950
Super built-up  Area,18-Apr,"Taishan Dist., New Taipei City",3 BHK,1741,2,2,2080
Super built-up  Area,19-Dec,"Linkou Dist., New Taipei City",3 BHK,1750,2,1,3198
Super built-up  Area,Ready To Move,"Luzhou Dist., New Taipei City",2 BHK,1050,1,2,1110.2
Super built-up  Area,17-Dec,"Wugu Dist., New Taipei City",2 BHK,1027,1,1,1560
Built-up  Area,Ready To Move,"Bali Dist., New Taipei City",2 BHK,596,1,1,572
Built-up  Area,Ready To Move,"Tamsui Dist., New Taipei City",4 BHK,3463,2,0,8060
Built-up  Area,Ready To Move,"Sanzhi Dist., New Taipei City",3 BHK,1600,2,2,1820
Super built-up  Area,19-Mar,"Shimen Dist., New Taipei City",4 BHK,2790,2,3,5148
Super built-up  Area,Ready To Move,"Yilan City, Yilan County",2 BHK,1000,1,1,1560
Super built-up  Area,18-Apr,"Toucheng Township, Yilan County",2 BHK,1120,1,2,1150.24
Plot  Area,Ready To Move,"Jiaoxi Township, Yilan County",2 Bedroom,1200,1,0,2210
Super built-up  Area,18-Jun,"Zhuangwei Township, Yilan County",2 BHK,1200,1,2,910
Super built-up  Area,Ready To Move,"Yuanshan Township, Yilan County",3 BHK,1570,2,2,2860
Super built-up  Area,Ready To Move,"Luodong Township, Yilan County",3 BHK,1500,2,1,3510
Built-up  Area,Ready To Move,"Sanxing Township, Yilan County",2 BHK,1315,1,2,3640
Super built-up  Area,18-Apr,"Datong Township, Yilan County",2 BHK,1140,1,1,879.84
Super built-up  Area,Ready To Move,"Wujie Township, Yilan County",2 BHK,1105,1,2,2340
Built-up  Area,18-Dec,"Dongshan Township, Yilan County",2 BHK,1200,1,1,900.9
Super built-up  Area,Ready To Move,"Tamsui Dist., New Taipei City",2 BHK,1185,1,1,1300
Super built-up  Area,Ready To Move,"East Dist., Hsinchu City",2 BHK,1083,1,1,2600
Super built-up  Area,Ready To Move,"North Dist., Hsinchu City",3 BHK,1458,2,2,1560
Super built-up  Area,Ready To Move,"Xiangshan Dist., Hsinchu City",3 BHK,1555,2,2,1950
Built-up  Area,Ready To Move,"Zhubei City, Hsinchu County",2 BHK,1200,1,2,1170
Super built-up  Area,Ready To Move,"Hukou Township, Hsinchu County",2 BHK,1308,1,1,1530.36
Super built-up  Area,Ready To Move,"Xinfeng Township, Hsinchu County",2 BHK,1024,1,2,1144
Super built-up  Area,Ready To Move,"Xinpu Township, Hsinchu County",2 BHK,1194,1,2,1222
Super built-up  Area,Ready To Move,"Guanxi Township, Hsinchu County",3 BHK,1450,2,1,1950
Super built-up  Area,Ready To Move,"Qionglin Township, Hsinchu County",3 BHK,1639,2,3,3120
Super built-up  Area,19-Jun,"Baoshan Township, Hsinchu County",3 BHK,1870,2,2,3588
Super built-up  Area,18-Oct,"Zhudong Township, Hsinchu County",2 BHK,1232,1,1,2262
Super built-up  Area,Ready To Move,"Wufeng Township, Hsinchu County",3 BHK,1719,2,1,4784
Super built-up  Area,18-May,"Hengshan Township, Hsinchu County",2 BHK,975,1,1,646.36
Super built-up  Area,Ready To Move,"Jianshi Township, Hsinchu County",3 BHK,2000,2,,3380
Super built-up  Area,Ready To Move,"Beipu Township, Hsinchu County",2 BHK,1230,1,1,2054
Plot  Area,Ready To Move,"Emei Township, Hsinchu County",4 Bedroom,1350,2,2,3640
Super built-up  Area,Ready To Move,"Zhongli Dist., Taoyuan City",2 BHK,1076,1,2,1742
Built-up  Area,Ready To Move,"Pingzhen Dist., Taoyuan City",7 Bedroom,2400,3,1,3250
Super built-up  Area,Ready To Move,"Longtan Dist., Taoyuan City",3 BHK,995,1,2,905.32
Super built-up  Area,Ready To Move,"Yangmei Dist., Taoyuan City City",3 BHK,2120,2,2,4602
Plot  Area,Ready To Move,"Xinwu Dist., Taoyuan City",6 Bedroom,2400,3,,11960
Plot  Area,Ready To Move,"Guanyin Dist., Taoyuan City",6 Bedroom,850,2,2,2028
Super built-up  Area,Ready To Move,"Taoyuan Dist., Taoyuan City",2 BHK,1096,1,2,1054.3
Super built-up  Area,Ready To Move,"Guishan Dist., Taoyuan City",2 BHK,1107.83,1,1,1079.26
Built-up  Area,Ready To Move,"Bade Dist., Taoyuan City",1 BHK,505,1,0,2210
Super built-up  Area,Ready To Move,"Daxi Dist., Taoyuan City",2 BHK,1320,1,2,2990
Super built-up  Area,19-Mar,"Fuxing Dist., Taoyuan City",3 BHK,1408 - 1455,2,0,1872.52
Super built-up  Area,18-Feb,"Dayuan Dist., Taoyuan City",2 BHK,1320,1,1,2580.76
Super built-up  Area,Ready To Move,"Luzhu Dist., Taoyuan City",3 BHK,2901,2,2,4940
Built-up  Area,Ready To Move,"Zhunan Township, Miaoli County",3 BHK,1315,1,2,1690
Super built-up  Area,Ready To Move,"Sanwan Township, Miaoli County",2 BHK,1000,1,1,1144
Super built-up  Area,Ready To Move,"Nanzhuang Township, Miaoli County",3 BHK,1596,2,3,2074.8
Super built-up  Area,Ready To Move,"Shitan Township, Miaoli County",3 BHK,1750,2,,3380
Plot  Area,Ready To Move,"Houlong Township, Miaoli County",4 Bedroom,2403,2,2,7020
Super built-up  Area,20-Dec,"Tongxiao Township, Miaoli County",3 BHK,1350,2,2,1228.5
Super built-up  Area,Ready To Move,"Yuanli Township, Miaoli County",4 BHK,4050 - 4075,,,8866
Super built-up  Area,18-Jul,"Miaoli City, Miaoli County",2 BHK,1175,1,2,2054
Super built-up  Area,Ready To Move,"Zaoqiao Township, Miaoli County",2 BHK,921,1,1,766.22
Built-up  Area,Ready To Move,"Touwu Township, Miaoli County",4 Bedroom,4000,2,2,28600
Super built-up  Area,Ready To Move,"Gongguan Township, Miaoli County",3 BHK,1713,2,3,3250
Built-up  Area,Ready To Move,"Dahu Township, Miaoli County",2 BHK,1200,1,0,1118
Super built-up  Area,Ready To Move,"Tongluo Township, Miaoli County",3 BHK,1664,2,2,1768
Super built-up  Area,19-Dec,"Sanyi Township, Miaoli County",3 BHK,1795,2,2,3614
Built-up  Area,Ready To Move,"Xihu Township, Miaoli County",1 BHK,600,1,1,507
Built-up  Area,Ready To Move,"Zhuolan Township, Miaoli County",2 BHK,1240,1,3,1690
Super built-up  Area,Ready To Move,"Central Dist., Taichung City",3 BHK,1965,2,2,3432
Plot  Area,Ready To Move,"East Dist., Taichung City",3 Bedroom,600,2,0,2574
Plot  Area,Ready To Move,"South Dist., Taichung City",4 Bedroom,4111,2,1,9620
Super built-up  Area,19-Dec,"West Dist., Taichung City",2 BHK,1200,1,2,1553.76
Super built-up  Area,Ready To Move,"North Dist., Taichung City",2 BHK,1112,1,3,1768
Built-up  Area,Ready To Move,"Beitun Dist., Taichung City",3 BHK,3000,2,2,1560
Super built-up  Area,Ready To Move,"Xitun Dist., Taichung City",2 BHK,1136,1,3,1677
Super built-up  Area,Ready To Move,"Nantun Dist., Taichung City",2 BHK,914,1,2,1430
Super built-up  Area,Ready To Move,"Taiping Dist., Taichung City",3 BHK,1270,1,1,1320.54
Super built-up  Area,Ready To Move,"Dali Dist., Taichung City",2 BHK,1050,1,2,1228.5
Super built-up  Area,Ready To Move,"Wufeng Dist., Taichung City",3 BHK,1385,1,2,1781
Super built-up  Area,Ready To Move,"Wuri Dist., Taichung City",2 BHK,990,1,3,910
Built-up  Area,Ready To Move,"Fengyuan Dist., Taichung City",2 BHK,845,1,2,1118
Super built-up  Area,20-Sep,"Houli Dist., Taichung City",2 BHK,1485,1,1,2509.26
Super built-up  Area,Ready To Move,"Shigang Dist., Taichung City",3 BHK,1460,1,3,1138.54
Super built-up  Area,Ready To Move,"Dongshi Dist., Taichung City",2 BHK,1450,1,1,1482
Built-up  Area,Ready To Move,"Heping Dist., Taichung City",3 BHK,1360,1,1,1378
Built-up  Area,Ready To Move,"Xinshe Dist., Taichung City",2 BHK,1375,1,3,1508
Super built-up  Area,Ready To Move,"Tanzi Dist., Taichung City",2 BHK,1125,1,1,1248
Super built-up  Area,Ready To Move,"Daya Dist., Taichung City",1 BHK,720,1,1,1560
Super built-up  Area,Ready To Move,"Shengang Dist., Taichung City",3 BHK,1460,1,2,2600
Built-up  Area,Ready To Move,"Dadu Dist., Taichung City",2 BHK,1107,1,2,1040
Built-up  Area,Ready To Move,"Shalu Dist., Taichung City",2 BHK,1158,1,3,1950
Super built-up  Area,Ready To Move,"Longjing Dist., Taichung City",2 BHK,800,1,1,780
Plot  Area,Ready To Move,"Wuqi Dist., Taichung City",9 Bedroom,600,6,,2340
Super built-up  Area,Ready To Move,"Qingshui Dist., Taichung City",3 BHK,1760,2,2,3328
Plot  Area,Ready To Move,"Dajia Dist., Taichung City",4 Bedroom,3200,2,2,5200
Plot  Area,17-Dec,"Waipu Dist., Taichung City",2 Bedroom,600,2,2,3770
Plot  Area,Ready To Move,"Changhua City, Changhua County",6 Bedroom,600,2,3,2600
Built-up  Area,18-Dec,"Fenyuan Township, Changhua County",2 BHK,1125,1,1,844.74
Super built-up  Area,Ready To Move,"Huatan Township, Changhua County",3 BHK,1706,2,3,4004
Super built-up  Area,Ready To Move,"Xiushui Township, Changhua County",3 BHK,1600,2,2,2912
Super built-up  Area,Ready To Move,"Lukang Township, Changhua County",2 BHK,1200,1,0,2340
Super built-up  Area,Ready To Move,"Fuxing Township, Changhua County",3 BHK,1755,2,3,2626
Super built-up  Area,Ready To Move,"Xianxi Township, Changhua County",2 BHK,1200,1,1,1300
Super built-up  Area,Ready To Move,"Hemei Township, Changhua County",2 BHK,1200,1,2,1742
Super built-up  Area,Ready To Move,"Shengang Township, Changhua County",2 BHK,1266.67,1,0,1794
Super built-up  Area,Ready To Move,"Shetou Township, Changhua County",3 BHK,1800,2,2,2340
Plot  Area,Ready To Move,"Yongjing Township, Changhua County",3 Bedroom,1200,2,1,7150
Super built-up  Area,22-Dec,"Puxin Township, Changhua County",3 BHK,1300,2,2,1664
Plot  Area,Ready To Move,"Xihu Township, Changhua County",3 Bedroom,800,2,3,1560
Plot  Area,Ready To Move,"Dacun Township, Changhua County",4 Bedroom,4800,2,2,14300
Super built-up  Area,18-May,"Puyan Township, Changhua County",2 BHK,942 - 1117,1,0,1322.23
Super built-up  Area,Ready To Move,"Tianzhong Township, Changhua County",2 BHK,1128,1,2,1040
Plot  Area,Ready To Move,"Beidou Township, Changhua County",2 Bedroom,2000,1,1,4160
Super built-up  Area,18-Mar,"Tianwei Township, Changhua County",2 BHK,1210,1,1,2080
Super built-up  Area,18-Jul,"Pitou Township, Changhua County",4 BHK,2710,2,2,3692
Super built-up  Area,Ready To Move,"Xizhou Township, Changhua County",2 BHK,1151,1,2,1014
Super built-up  Area,19-Jan,"Zhutang Township, Changhua County",5 BHK,7500,3,3,44200
Super built-up  Area,Ready To Move,"Erlin Township, Changhua County",3 BHK,1464,2,2,1456
Super built-up  Area,Ready To Move,"Dacheng Township, Changhua County",2 BHK,1017,1,2,702
Built-up  Area,Ready To Move,"Fangyuan Township, Changhua County",2 BHK,920,1,1,1040
Plot  Area,Ready To Move,"Ershui Township, Changhua County",4 Bedroom,1200,2,1,4680
Plot  Area,Ready To Move,"Nantou City, Nantou County",5 Bedroom,1000,2,2,3640
Super built-up  Area,Ready To Move,"Zhongliao Township, Nantou County",3 BHK,1750,2,3,2249
Built-up  Area,Ready To Move,"Caotun Township, Nantou County",2 BHK,1163,1,1,1690
Super built-up  Area,Ready To Move,"Guoxing Township, Nantou County",3 BHK,1650,2,3,2860
Super built-up  Area,Ready To Move,"Puli Township, Nantou County",3 BHK,1800,2,3,2470
Built-up  Area,Ready To Move,"Mingjian Township, Nantou County",2 BHK,1200,1,2,1560
Super built-up  Area,Ready To Move,"Jiji Township, Nantou County",3 BHK,1410,2,2,1690
Super built-up  Area,19-Jun,"Shuili Township, Nantou County",3 BHK,1933,2,2,2548
Super built-up  Area,Ready To Move,"Yuchi Township, Nantou County",2 BHK,1200,1,2,1185.6
Super built-up  Area,Ready To Move,"Xinyi Township, Nantou County",3 BHK,1608,1,3,1638
Plot  Area,Ready To Move,"Zhushan Township, Nantou County",4 Bedroom,2679,2,2,7280
Super built-up  Area,Ready To Move,"Lugu Township, Nantou County",2 BHK,1156,1,2,1219.4
Plot  Area,18-Mar,"East Dist., Chiayi City",2 Bedroom,1230,1,0,1950
Super built-up  Area,Ready To Move,"West Dist., Chiayi City",1 BHK,770,1,1,1139.32
Super built-up  Area,Ready To Move,"Fanlu Township, Chiayi County",3 BHK,1777.26,2,2,2730
Super built-up  Area,Ready To Move,"Meishan Township, Chiayi County",2 BHK,1339,1,2,2210
Built-up  Area,18-Mar,"Zhuqi Township, Chiayi County",3 Bedroom,3044,2,2,4758
Built-up  Area,Ready To Move,"Alishan Township, Chiayi County",2 BHK,1080,1,2,1164.8
Carpet  Area,Ready To Move,"Zhongpu Township, Chiayi County",8 Bedroom,3150,2,2,3770
Plot  Area,Ready To Move,"Dapu Township, Chiayi County",2 Bedroom,2400,1,2,3510
Built-up  Area,Ready To Move,"Shuishang Township, Chiayi County",3 BHK,1450,2,3,1872
Super built-up  Area,18-Mar,"Lucao Township, Chiayi County",2 BHK,1075,1,2,1378
Super built-up  Area,Ready To Move,"Taibao City, Chiayi County",3 BHK,1163,1,2,1612
Built-up  Area,Ready To Move,"Puzi City, Chiayi County",2 Bedroom,1200,1,0,1690
Plot  Area,Ready To Move,"Dongshi Township, Chiayi County",8 Bedroom,1200,3,1,3510
Plot  Area,Ready To Move,"Liujiao Township, Chiayi County",4 Bedroom,3090,2,,8450
Built-up  Area,Ready To Move,"Xingang Township, Chiayi County",2 BHK,1299,1,1,2600
Built-up  Area,18-Dec,"Minxiong Township, Chiayi County",2 BHK,1130,1,1,848.38
Super built-up  Area,Ready To Move,"Dalin Township, Chiayi County",2 BHK,1170,1,2,1950
Super built-up  Area,18-Mar,"Xikou Township, Chiayi County",3 BHK,1750 - 2640,,,3952
Super built-up  Area,Ready To Move,"Yizhu Township, Chiayi County",4 BHK,2600,2,3,4550
Super built-up  Area,Ready To Move,"Budai Township, Chiayi County",2 BHK,1140,1,1,1126.32
Super built-up  Area,Ready To Move,"Dounan Township, Yunlin County",3 BHK,1900,2,3,3250
Built-up  Area,18-Jul,"Dapi Township, Yunlin County",2 BHK,1090,1,1,818.48
Super built-up  Area,Ready To Move,"Huwei Township, Yunlin County",2 BHK,1110,1,1,1038.7
Super built-up  Area,18-Jan,"Tuku Township, Yunlin County",1 BHK,705,1,1,1482
Super built-up  Area,Ready To Move,"Baozhong Township, Yunlin County",2 BHK,1089,1,1,1560
Plot  Area,Ready To Move,"Dongshi Township, Yunlin County",2 Bedroom,880,1,1,1248
Built-up  Area,Ready To Move,"Taixi Township, Yunlin County",2 BHK,1080,1,2,832
Super built-up  Area,18-Feb,"Lunbei Township, Yunlin County",2 BHK,1093,1,1,1770.6
Super built-up  Area,18-Oct,"Mailiao Township, Yunlin County",3 BHK,1480,2,1,1962.48
Super built-up  Area,Ready To Move,"Douliu City, Yunlin County",3 BHK,1703,2,2,3250
Super built-up  Area,Ready To Move,"Linnei Township, Yunlin County",2 BHK,1200,1,1,1560
Super built-up  Area,Ready To Move,"Gukeng Township, Yunlin County",3 BHK,1690,2,2,3016
Super built-up  Area,Ready To Move,"Citong Township, Yunlin County",2 BHK,1305,1,1,2028
Super built-up  Area,18-Sep,"Xiluo Township, Yunlin County",3 BHK,1257,1,2,1045.72
Super built-up  Area,Ready To Move,"Erlun Township, Yunlin County",2 BHK,1150,1,2,1170
Super built-up  Area,Ready To Move,"Beigang Township, Yunlin County",2 BHK,1194,1,0,1430
Built-up  Area,Ready To Move,"Shuilin Township, Yunlin County",3 Bedroom,2000,2,1,2340
Plot  Area,Ready To Move,"Kouhu Township, Yunlin County",3 Bedroom,1500,2,1,2574
Built-up  Area,Ready To Move,"Sihu Township, Yunlin County",2 BHK,1025,1,0,1105
Built-up  Area,Ready To Move,"Yuanchang Township, Yunlin County",2 BHK,980,1,1,992.94
Plot  Area,Ready To Move,"West Central Dist., Tainan City",3 Bedroom,1200,1,1,2600
Super built-up  Area,Ready To Move,"East Dist., Tainan City",3 BHK,2225,2,1,3874
Super built-up  Area,Ready To Move,"South Dist., Tainan City",2 BHK,1022,1,2,1482
Plot  Area,Ready To Move,"North Dist., Tainan City",4 Bedroom,882,2,0,1872
Built-up  Area,Ready To Move,"Anping Dist., Tainan City",2 BHK,1153,1,2,1170
Super built-up  Area,Ready To Move,"Annan Dist., Tainan City",2 BHK,1175,1,2,1560
Built-up  Area,Ready To Move,"Yongkang Dist., Tainan City",3 BHK,1560,2,3,1768
Built-up  Area,Ready To Move,"Guiren Dist., Tainan City",1 BHK,650,1,1,442
Plot  Area,Ready To Move,"Xinhua Dist., Tainan City",3 Bedroom,600,2,2,1690
Super built-up  Area,Ready To Move,"Zuozhen Dist., Tainan City",2 BHK,1350,2,2,1430
Plot  Area,Ready To Move,"Yujing Dist., Tainan City",2 Bedroom,1200,1,1,1976
Super built-up  Area,Ready To Move,"Nanxi Dist., Tainan City",2 BHK,1200,1,1,1404
Super built-up  Area,Ready To Move,"Nanhua Dist., Tainan City",2 BHK,800,1,1,650
Super built-up  Area,20-Dec,"Rende Dist., Tainan City",4 BHK,2093,2,1,2704
Super built-up  Area,18-Oct,"Guanmiao Dist., Tainan City",3 BHK,1320,1,2,1441.44
Super built-up  Area,Ready To Move,"Longqi Dist., Tainan City",2 BHK,1275,1,1,1898
Super built-up  Area,Ready To Move,"Guantian Dist., Tainan City",2 BHK,1215,1,2,1121.38
Super built-up  Area,Ready To Move,"Madou Dist., Tainan City",2 BHK,1130,1,1,1175.2
Super built-up  Area,Ready To Move,"Jiali Dist., Tainan City",3 BHK,1444,1,2,1859
Super built-up  Area,Ready To Move,"Xigang Dist., Tainan City",2 BHK,950,1,2,988
Super built-up  Area,Ready To Move,"Qigu Dist., Tainan City",2 BHK,1000,1,,2340
Super built-up  Area,Ready To Move,"Jiangjun Dist., Tainan City",3 BHK,1240,1,2,1547.52
Plot  Area,Ready To Move,"Xuejia Dist., Tainan City",4 Bedroom,600,2,2,3250
Super built-up  Area,Ready To Move,"Beimen Dist., Tainan City",2 BHK,1231,1,2,1300
Super built-up  Area,Ready To Move,"Xinying Dist., Tainan City",2 BHK,1300,1,1,3120
Super built-up  Area,18-Aug,"Houbi Dist., Tainan City",3 BHK,1713,2,2,2860
Super built-up  Area,Ready To Move,"Baihe Dist., Tainan City",2 BHK,1200,1,1,1386.58
Built-up  Area,Ready To Move,"Dongshan Dist., Tainan City",3 Bedroom,3004,2,,4108
Built-up  Area,Ready To Move,"Liujia Dist., Tainan City",3 BHK,1310,1,0,1196
Super built-up  Area,Ready To Move,"Xiaying Dist., Tainan City",2 BHK,790,1,1,1287
Super built-up  Area,Ready To Move,"Liuying Dist., Tainan City",3 BHK,1744,2,1,5200
Super built-up  Area,Ready To Move,"Yanshui Dist., Tainan City",3 BHK,1605,2,2,2600
Super built-up  Area,Ready To Move,"Shanhua Dist., Tainan City",2 BHK,1250,1,2,2132
